source_name,source_slug,source_url,enabled,company_hint,platform_hint,source_tier,source_type_hint,date_filter_start,scrape_depth,notes
ChatGPT Release Notes,chatgpt-release-notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,TRUE,OpenAI,ChatGPT,official,release_notes,2023-01-01,single_page,"Scan for safety, teen, parental control, memory, and crisis-related entries. Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)"
OpenAI Usage Policies,openai-usage-policies,https://openai.com/policies/usage-policies,TRUE,OpenAI,ChatGPT,official,usage_policy,2023-01-01,single_page,Current policy baseline; note update dates if stated. Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)
OpenAI Parental Controls FAQ,openai-parental-controls-faq,https://help.openai.com/en/articles/12315553-parental-controls-faq,TRUE,OpenAI,ChatGPT,official,help_center,2023-01-01,single_page,Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)
OpenAI Teen Safety Blog Post,openai-teen-safety-blog,https://openai.com/index/teen-safety-freedom-and-privacy/,TRUE,OpenAI,ChatGPT,official,blog_post,2023-01-01,single_page,Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)
OpenAI Introducing Parental Controls,openai-introducing-parental-controls,https://openai.com/index/introducing-parental-controls/,TRUE,OpenAI,ChatGPT,official,blog_post,2023-01-01,single_page,Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)
OpenAI Age Prediction Help,openai-age-prediction-help,https://help.openai.com/en/articles/12652064-age-prediction-in-chatgpt,TRUE,OpenAI,ChatGPT,official,help_center,2023-01-01,single_page,Live page returns 403 to automated fetch; retrieve via Wayback Machine snapshot (https://web.archive.org/web/<url>)
Anthropic News,anthropic-news,https://www.anthropic.com/news,TRUE,Anthropic,Claude,official,blog_post,2023-01-01,follow_same_domain_links,"Follow links only for safety-, teen-, privacy-, or wellbeing-relevant posts"
Anthropic Usage Policy,anthropic-usage-policy,https://www.anthropic.com/legal/aup,TRUE,Anthropic,Claude,official,usage_policy,2023-01-01,single_page,Minimum age and mental-health-related use restrictions
Anthropic Protecting User Wellbeing,anthropic-wellbeing-post,https://www.anthropic.com/news/protecting-well-being-of-users,TRUE,Anthropic,Claude,official,blog_post,2023-01-01,single_page,
Anthropic Privacy Policy,anthropic-privacy-policy,https://www.anthropic.com/legal/privacy,TRUE,Anthropic,Claude,official,privacy_policy,2023-01-01,single_page,"Retention, training data use, minors"
Google Gemini Blog,google-gemini-blog,https://blog.google/products/gemini/,TRUE,Google,Gemini,official,blog_post,2023-01-01,follow_same_domain_links,"Follow links only for teen-, safety-, or privacy-relevant posts"
Gemini Apps Privacy Hub,gemini-privacy-hub,https://support.google.com/gemini/answer/13594961,TRUE,Google,Gemini,official,privacy_policy,2023-01-01,single_page,"Retention, human review, training data use"
Gemini for Children Guide (Family Link),gemini-children-guide,https://support.google.com/gemini/answer/16109150,TRUE,Google,Gemini,official,help_center,2023-01-01,single_page,Supervised under-13 access via Family Link
Google Bard for Teens Blog Post,bard-teens-blog,https://blog.google/products/gemini/google-bard-expansion-teens/,TRUE,Google,Gemini,official,blog_post,2023-01-01,single_page,2023 teen expansion of Bard (Gemini predecessor)
Google Built-in Protections for Kids and Teens,google-kids-protections,https://blog.google/technology/families/google-new-built-in-protections-kids-teens/,TRUE,Google,Gemini,official,blog_post,2023-01-01,single_page,
