event_id,company,platform,event_title,event_summary,event_importance,event_type,event_date,date_basis,date_confidence,primary_category_code,primary_subcategory_code,safety_relevance_score,expected_direction,affected_user_group,analytic_priority,mechanism_summary,survey_exposure_mapping,source_name,source_url,supporting_source_urls,relevant_quote,classification_confidence,human_review_needed,human_review_reason,run_id
OPENAI-CHATGPT-2024-02-13-MEMORY-LAUNCH,OpenAI,ChatGPT,ChatGPT memory and temporary chat launched,"OpenAI introduced persistent memory in ChatGPT (on by default, with user controls to review, delete, or disable memories) and a temporary chat mode that keeps conversations out of history and model training. Increases personalization and relational continuity of the chatbot while adding new privacy controls.",major_safety_relevant_event,product_feature_change,2024-02-13,announcement_date,high,G_PRIVACY_MEMORY_RETENTION_TRAINING,G2_MEMORY_CONTROLS,2,mixed_or_ambiguous,all_users,medium_secondary,Persistent memory increases personalization and potential emotional continuity/dependency in adolescent use; temporary chat and memory controls add privacy options for sensitive disclosures.,primary_platform_users,OpenAI Blog - Memory and new controls for ChatGPT,https://openai.com/index/memory-and-new-controls-for-chatgpt/,https://help.openai.com/en/articles/8590148-memory-faq|https://web.archive.org/web/20240502120859/https://openai.com/index/memory-and-new-controls-for-chatgpt/,"Temporary chats won’t appear in history, won’t use memory, and won’t be used to train our models... We’re taking steps to assess and mitigate biases, and steer ChatGPT away from proactively remembering sensitive information, like your health details - unless you explicitly ask it to.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-04-29-SYCOPHANCY-ROLLBACK,OpenAI,ChatGPT,GPT-4o sycophancy update rolled back,"OpenAI rolled back an April 24-25, 2025 GPT-4o update after it made ChatGPT overly sycophantic, including validating doubts, fueling anger, and reinforcing negative emotions. OpenAI published post-mortems and committed to sycophancy-specific evaluations before deployment.",major_safety_relevant_event,safety_announcement,2025-04-29,announcement_date,high,K_INCIDENT_RESPONSE_PRODUCT_CHANGE,K1_SAFETY_INCIDENT_RESPONSE,2,safer,all_users,medium_secondary,Sycophantic model behavior can validate harmful plans or negative emotions in emotionally vulnerable adolescent users; the rollback and new evaluations reduce that exposure.,primary_platform_users,OpenAI Blog - Sycophancy in GPT-4o,https://openai.com/index/sycophancy-in-gpt-4o/,https://openai.com/index/expanding-on-sycophancy/|https://web.archive.org/web/20260101125221/https://openai.com/index/sycophancy-in-gpt-4o/,We have rolled back last week’s GPT‑4o update in ChatGPT so people are now using an earlier version with more balanced behavior. The update we removed was overly flattering or agreeable—often described as sycophantic.,high,FALSE,,20260701
OPENAI-CHATGPT-2025-08-07-GPT5-DEFAULT,OpenAI,ChatGPT,GPT-5 released as default ChatGPT model,"OpenAI launched GPT-5 in August 2025, replacing GPT-4o as the default consumer model. OpenAI later reported that GPT-5 reduced non-ideal model responses in mental health emergencies by more than 25% compared to 4o.",minor_contextual_update,model_release,2025-08-07,rollout_start_date,high,I_PRODUCT_MODEL_INTEGRATION_EVENTS,I1_NEW_MODEL_RELEASE_OR_MODEL_REPLACEMENT,2,safer,all_users,covariate_context,"Default model replacement changed safety behavior for all ChatGPT users, including documented improvement in mental-health emergency responses.",primary_platform_users,ChatGPT Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,https://web.archive.org/web/20260102071947/https://help.openai.com/en/articles/6825453-chatgpt-release-notes|https://openai.com/index/helping-people-when-they-need-it-most/|https://web.archive.org/web/20251231011715/https://openai.com/index/helping-people-when-they-need-it-most/,"GPT-5 is slowly rolling out to all users on ChatGPT Plus, Pro, Team, and Free plans worldwide across web, mobile, and desktop... GPT-5 in ChatGPT is our next flagship model and the new default for all logged-in users.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-08-26-CRISIS-SAFEGUARDS,OpenAI,ChatGPT,Crisis-safeguard commitments after teen suicide lawsuit,"OpenAI published 'Helping people when they need it most', acknowledging that safeguards can degrade in long conversations and committing to strengthen crisis mitigations, expand interventions, and add parental controls. Published the same day the Raine family lawsuit alleged ChatGPT acted as a 'suicide coach' for their teenage son.",major_safety_relevant_event,safety_announcement,2025-08-26,announcement_date,high,D_SELF_HARM_CRISIS_HANDLING,D2_SELF_HARM_OR_SUICIDE_RESPONSE_PROTOCOL,3,safer,all_users,high_confirmatory,"Documents weaknesses and planned strengthening of ChatGPT's suicide/self-harm response behavior, directly relevant to adolescent crisis interactions; incident-linked governance change.",primary_platform_users,OpenAI Blog - Helping people when they need it most,https://openai.com/index/helping-people-when-they-need-it-most/,https://web.archive.org/web/20251231011715/https://openai.com/index/helping-people-when-they-need-it-most/,"These safeguards can sometimes be less reliable in long interactions: as the back-and-forth grows, parts of the model’s safety training may degrade... ChatGPT may correctly point to a suicide hotline when someone first mentions intent, but after many messages over a long period of time, it might eventually offer an answer that goes against our safeguards... We’re strengthening these mitigations so they remain reliable in long conversations.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-09-16-TEEN-SAFETY-AGE-PREDICTION,OpenAI,ChatGPT,Teen safety principles and age-prediction system announced,"OpenAI published 'Teen safety, freedom, and privacy' and 'Building towards age prediction', announcing an age-prediction system to identify under-18 users from behavioral signals and route them to an age-appropriate experience with stricter content rules, plus parental notification in cases of acute distress.",major_safety_relevant_event,safety_announcement,2025-09-16,announcement_date,high,A_AGE_ELIGIBILITY_ASSURANCE,A2_AGE_PREDICTION_OR_AGE_INFERENCE,3,safer,teens,high_confirmatory,"Age prediction routes suspected minors into a restricted teen experience (blocking graphic sexual content, adding crisis-related parental notification), changing adolescent exposure and crisis pathways on the most-used platform.",primary_platform_users,"OpenAI Blog - Teen safety, freedom, and privacy",https://openai.com/index/teen-safety-freedom-and-privacy/,https://openai.com/index/building-towards-age-prediction/|https://help.openai.com/en/articles/12652064-age-prediction-in-chatgpt|https://web.archive.org/web/20251231081004/https://openai.com/index/teen-safety-freedom-and-privacy/,"We’re building an age-prediction system to estimate age based on how people use ChatGPT. If there is doubt, we’ll play it safe and default to the under-18 experience... And, if an under-18 user is having suicidal ideation, we will attempt to contact the users’ parents and if unable, will contact the authorities in case of imminent harm.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-09-29-PARENTAL-CONTROLS,OpenAI,ChatGPT,Parental controls launched for ChatGPT,"OpenAI rolled out parental controls: parents link accounts with teens, set quiet hours, turn off voice mode, memory, and image generation, opt teen conversations out of model training, and receive safety notifications if systems detect potential self-harm risk. Linked teen accounts automatically get stricter content protections.",major_safety_relevant_event,product_feature_change,2025-09-29,rollout_start_date,high,C_PARENTAL_FAMILY_CONTROLS,C1_PARENT_DASHBOARD_OR_FAMILY_CENTER,3,safer,teens,high_confirmatory,"Gives parents oversight and restriction tools over teen ChatGPT use and creates a self-harm alert pathway to parents, directly changing adolescent exposure, privacy, and crisis escalation on ChatGPT.",primary_platform_users,OpenAI Blog - Introducing parental controls,https://openai.com/index/introducing-parental-controls/,https://help.openai.com/en/articles/12315553-parental-controls-faq|https://web.archive.org/web/20260107104512/https://openai.com/index/introducing-parental-controls/|https://web.archive.org/web/20260128234253/https://help.openai.com/en/articles/12315553-parental-controls-faq,"The teen account will automatically get additional content protections, including reduced graphic content, viral challenges, sexual, romantic or violent roleplay, and extreme beauty ideals... If there are signs of acute distress, we will contact parents by email, text message and push alert on their phone, unless they have opted out.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-10-27-SENSITIVE-CONVERSATIONS,OpenAI,ChatGPT,Default model updated for sensitive conversations with clinician input,"OpenAI updated ChatGPT's default model, working with 170+ mental health experts, to better recognize distress, de-escalate, and route users to professional care, reporting 65-80% reductions in non-compliant responses. Expanded crisis hotline access (including 988 texting guidance), safer-model rerouting for sensitive conversations, and break reminders.",major_safety_relevant_event,safety_announcement,2025-10-27,announcement_date,high,D_SELF_HARM_CRISIS_HANDLING,D2_SELF_HARM_OR_SUICIDE_RESPONSE_PROTOCOL,3,safer,all_users,high_confirmatory,"Directly changes ChatGPT's suicide/self-harm and mental-health-crisis response behavior and crisis-resource routing, the core exposure pathway for adolescents using ChatGPT for emotional support.",primary_platform_users,OpenAI Blog - Strengthening ChatGPT's responses in sensitive conversations,https://openai.com/index/strengthening-chatgpt-responses-in-sensitive-conversations/,https://openai.com/index/gpt-5-system-card-sensitive-conversations/|https://web.archive.org/web/20260102181527/https://openai.com/index/strengthening-chatgpt-responses-in-sensitive-conversations/,"We worked with more than 170 mental health experts to help ChatGPT more reliably recognize signs of distress, respond with care, and guide people toward real-world support–reducing responses that fall short of our desired behavior by 65-80%.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-10-29-USAGE-POLICY-ADVICE-LIMITS,OpenAI,ChatGPT,Usage policies updated to restrict tailored medical/legal advice,"OpenAI's updated Usage Policies (effective 2025-10-29) unified rules across products and prohibit use for provision of tailored advice that requires a license, such as legal or medical advice, without appropriate involvement by a licensed professional.",major_safety_relevant_event,policy_change,2025-10-29,policy_effective_date,high,F_MENTAL_HEALTH_ADVICE_BOUNDARIES,F1_DIAGNOSIS_TREATMENT_REFUSAL_OR_LIMITATION,3,safer,all_users,medium_secondary,"Tightens the boundary on personalized medical (including mental-health) advice from ChatGPT, plausibly shifting adolescents from AI-delivered clinical guidance toward professional help-seeking.",primary_platform_users,OpenAI Usage Policies,https://openai.com/policies/usage-policies,https://web.archive.org/web/20251102012204/https://openai.com/policies/usage-policies,"Provision of tailored advice that requires a license, such as legal or medical advice, without appropriate involvement by a licensed professional [is prohibited]. Effective: October 29, 2025.",high,FALSE,,20260701
OPENAI-CHATGPT-2025-12-18-MODEL-SPEC-U18,OpenAI,ChatGPT,Model Spec updated with Under-18 Principles,"OpenAI added U18 Principles to its Model Spec governing model behavior for users aged 13-17: extra care on self-harm and suicide, no immersive romantic/sexual roleplay, caution on body image and disordered eating, refusal to help conceal unsafe behavior from caregivers, prioritizing safety over autonomy. Age-prediction rollout begins on consumer plans, defaulting to the teen experience when age is uncertain.",major_safety_relevant_event,policy_change,2025-12-18,announcement_date,high,B_TEEN_MODE_YOUTH_SAFETY_DEFAULTS,B3_SENSITIVE_TOPIC_HANDLING_FOR_TEENS,3,safer,teens,high_confirmatory,"Codifies teen-specific model behavior for self-harm, disordered eating, roleplay intimacy, and caregiver concealment, and begins defaulting uncertain-age users into the teen experience - directly changing adolescent mental-health-relevant interactions.",primary_platform_users,OpenAI Blog - Updating our Model Spec with teen protections,https://openai.com/index/updating-model-spec-with-teen-protections/,https://model-spec.openai.com/2025-12-18.html|https://web.archive.org/web/20260101011900/https://openai.com/index/updating-model-spec-with-teen-protections/,"We’ve implemented safeguards to guide the model to take extra care when discussing higher-risk areas, including self-harm and suicide, romantic or sexualized roleplay, graphic or explicit content, dangerous activities and substances, body image and disordered eating, and requests to keep secrets about unsafe behavior.",high,FALSE,,20260701
ANTHROPIC-CLAUDE-2024-06-06-USAGE-POLICY-MINORS-API,Anthropic,Claude,Usage policy update permits minor-facing API products with safeguards,"Anthropic's updated Usage Policy (announced 2024-05-10, effective 2024-06-06) allows organizations to incorporate the Claude API into products for minors if they implement required safety features and disclose AI use, while consumer terms continue to prohibit use by individuals under 18. High-risk uses affecting healthcare decisions require additional safety measures.",major_safety_relevant_event,developer_policy_change,2024-06-06,policy_effective_date,high,I_PRODUCT_MODEL_INTEGRATION_EVENTS,I5_API_OR_DEVELOPER_POLICY_CHANGE,3,access_increasing,minors,medium_secondary,"Opens a sanctioned pathway for minors to use Claude-powered products (e.g., tutoring) with mandated safeguards, changing adolescent access to Claude-based tools while keeping Claude.ai itself 18+.",any_platform_users,Anthropic News - Updating our Usage Policy,https://www.anthropic.com/news/updating-our-usage-policy,,Our updated policy allows organizations to incorporate our API into their products for minors if they agree to implement certain safety features.,high,FALSE,,20260701
