source_slug,source_name,source_url,company,platform,status,last_checked,last_changed,last_snapshot,note
chatgpt-release-notes,ChatGPT Release Notes,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/chatgpt-release-notes/2026-07-09.txt,fetched via wayback
openai-usage-policies,OpenAI Usage Policies,https://openai.com/policies/usage-policies,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/openai-usage-policies/2026-07-09.txt,fetched via wayback
openai-parental-controls-faq,OpenAI Parental Controls FAQ,https://help.openai.com/en/articles/12315553-parental-controls-faq,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/openai-parental-controls-faq/2026-07-09.txt,fetched via wayback
openai-teen-safety-blog,OpenAI Teen Safety Blog Post,https://openai.com/index/teen-safety-freedom-and-privacy/,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/openai-teen-safety-blog/2026-07-09.txt,fetched via wayback
openai-introducing-parental-controls,OpenAI Introducing Parental Controls,https://openai.com/index/introducing-parental-controls/,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/openai-introducing-parental-controls/2026-07-09.txt,fetched via wayback
openai-age-prediction-help,OpenAI Age Prediction Help,https://help.openai.com/en/articles/12652064-age-prediction-in-chatgpt,OpenAI,ChatGPT,success,2026-07-09,2026-07-09,snapshots/openai-age-prediction-help/2026-07-09.txt,fetched via wayback
anthropic-news,Anthropic News,https://www.anthropic.com/news,Anthropic,Claude,success,2026-07-09,2026-07-09,snapshots/anthropic-news/2026-07-09.txt,fetched via live
anthropic-usage-policy,Anthropic Usage Policy,https://www.anthropic.com/legal/aup,Anthropic,Claude,success,2026-07-09,2026-07-09,snapshots/anthropic-usage-policy/2026-07-09.txt,fetched via live
anthropic-wellbeing-post,Anthropic Protecting User Wellbeing,https://www.anthropic.com/news/protecting-well-being-of-users,Anthropic,Claude,success,2026-07-09,2026-07-09,snapshots/anthropic-wellbeing-post/2026-07-09.txt,fetched via live
anthropic-privacy-policy,Anthropic Privacy Policy,https://www.anthropic.com/legal/privacy,Anthropic,Claude,success,2026-07-09,2026-07-09,snapshots/anthropic-privacy-policy/2026-07-09.txt,fetched via live
google-gemini-blog,Google Gemini Blog,https://blog.google/products/gemini/,Google,Gemini,success,2026-07-09,2026-07-09,snapshots/google-gemini-blog/2026-07-09.txt,fetched via live
gemini-privacy-hub,Gemini Apps Privacy Hub,https://support.google.com/gemini/answer/13594961,Google,Gemini,success,2026-07-09,2026-07-09,snapshots/gemini-privacy-hub/2026-07-09.txt,fetched via live
gemini-children-guide,Gemini for Children Guide (Family Link),https://support.google.com/gemini/answer/16109150,Google,Gemini,success,2026-07-09,2026-07-09,snapshots/gemini-children-guide/2026-07-09.txt,fetched via live
bard-teens-blog,Google Bard for Teens Blog Post,https://blog.google/products/gemini/google-bard-expansion-teens/,Google,Gemini,success,2026-07-09,2026-07-09,snapshots/bard-teens-blog/2026-07-09.txt,fetched via live
google-kids-protections,Google Built-in Protections for Kids and Teens,https://blog.google/technology/families/google-new-built-in-protections-kids-teens/,Google,Gemini,success,2026-07-09,2026-07-09,snapshots/google-kids-protections/2026-07-09.txt,fetched via live
